Cryptocurrency,Price (USD),24h Volume (USD),Market Cap (USD),SMA (10)
bitcoin,61325.55145027494,,,61115.2137777343
bitcoin,61283.407943760176,,,61192.81819817412
bitcoin,61447.97523592585,,,61217.02804489215
bitcoin,61783.04315946566,,,61303.08835352088
bitcoin,61237.01884317701,,,61324.3249465174
bitcoin,61181.16559921016,,,61340.168245018576
bitcoin,61824.1609830765,,,61409.822467041784
bitcoin,62330.25296863748,,,61530.407678648786
bitcoin,61987.93935749957,,,61585.33965901844
bitcoin,62335.022588537446,,,61673.55381295648
bitcoin,62394.20409079485,,,61780.419077008475
bitcoin,62365.29263794423,,,61888.607546426865
bitcoin,62275.09651258334,,,61971.31967409262
bitcoin,62022.47161965773,,,61995.26252011183
bitcoin,62094.41334605943,,,62081.00197040008
bitcoin,62119.13760016322,,,62174.79917049538
bitcoin,61998.417167833686,,,62192.22478897109
bitcoin,61796.61346195567,,,62138.86083830291
bitcoin,61858.943006821515,,,62125.96120323511
bitcoin,62017.72164133773,,,62094.23110851514
bitcoin,62139.39575349718,,,62068.75027478537
bitcoin,62218.77511592513,,,62054.09852258347
bitcoin,62102.5384037539,,,62036.84271170051
bitcoin,62156.44108601213,,,62050.23965833596
bitcoin,62230.07343582251,,,62063.80566731227
bitcoin,62213.386436766035,,,62073.23055097255
bitcoin,62174.76483460754,,,62090.86531764994
bitcoin,62307.202956879584,,,62141.92426714233
bitcoin,62181.65898585698,,,62174.19586504587
bitcoin,62190.24835476746,,,62191.44853638883
bitcoin,62189.414556279655,,,62196.45041666708
bitcoin,61926.72757293198,,,62167.24566236777
bitcoin,62017.56963974981,,,62158.74878596737
bitcoin,61868.52669264689,,,62129.95734663084
bitcoin,61792.073086552715,,,62086.15731170386
bitcoin,61764.447436375944,,,62041.26341166485
bitcoin,61844.53865265087,,,62008.24079346919
bitcoin,61991.285312837215,,,61976.649029064945
bitcoin,61943.32059194136,,,61952.81518967339
bitcoin,61903.8513984402,,,61924.17549404067
bitcoin,62105.88392398104,,,61915.82243081081
bitcoin,61972.5254215129,,,61920.402215668895
bitcoin,61888.434969301474,,,61907.48874862407
bitcoin,61875.00799886143,,,61908.1368792455
bitcoin,61933.30315939685,,,61922.25988652992
bitcoin,61973.5297577713,,,61943.16811866946
